836590;06/11/2019;05/11/2020
1172310;07/11/2019;06/11/2020
1001200;31/01/2019;31/01/2020
862220;10/11/2019;09/11/2020
1109460;11/11/2019;10/11/2020
1166200;08/11/2019;07/11/2020
1166210;08/11/2019;07/11/2020
1178020;11/11/2019;10/11/2020
1196400;27/11/2019;26/11/2020
350300;27/11/2019;26/11/2020
1185950;27/11/2019;26/11/2020
1178120;21/11/2019;20/11/2020
1190410;27/11/2019;26/11/2020
254900;03/12/2019;02/12/2020
865160;27/11/2019;26/11/2020
1186580;02/12/2019;01/12/2020
756530;14/11/2019;13/11/2020
728530;27/11/2019;26/11/2020
1132210;18/11/2019;17/11/2020
1191450;01/12/2019;30/11/2020
254940;03/12/2019;02/12/2020
1052440;18/11/2019;17/11/2020
696120;28/11/2019;27/11/2020
1052430;02/12/2019;01/12/2020
1182720;02/12/2019;01/12/2020
1048020;17/11/2019;16/11/2020
1103800;03/12/2019;02/12/2020
1190150;02/12/2019;01/12/2020
1193570;18/11/2019;17/11/2020
616920;19/11/2019;18/11/2020
1109840;29/11/2019;28/11/2020
1192740;01/12/2019;30/11/2020
756890;20/11/2019;19/11/2020
1191680;26/11/2019;25/11/2020
898430;13/11/2019;12/11/2020
1102940;22/11/2019;21/11/2020
1193550;27/11/2019;26/11/2020
951680;27/11/2019;26/11/2020
1165860;25/11/2019;24/11/2020
1156980;15/11/2019;14/11/2020
1165850;18/11/2019;17/11/2020
1113880;05/12/2019;04/12/2020
1198060;06/12/2019;05/12/2020
1194380;04/12/2019;03/12/2020
1179480;01/12/2019;30/11/2020
1066030;03/12/2019;02/12/2020
1194620;06/12/2019;05/12/2020
1184780;05/12/2019;04/12/2020
1181440;03/12/2019;02/12/2020
1171140;05/12/2019;04/12/2020
1147670;05/12/2019;04/12/2020
250900;04/11/2014;04/11/2015
440;10/10/2007;09/10/2008
271590;13/04/2015;12/04/2016
1206920;28/01/2020;27/01/2021
1179910;24/01/2020;23/01/2021
1231770;26/01/2020;25/01/2021
1209430;27/01/2020;26/01/2021
1211420;25/01/2020;24/01/2021
1202220;26/01/2020;25/01/2021
1215860;28/01/2020;27/01/2021
1122510;29/01/2020;28/01/2021
1204330;29/01/2020;28/01/2021
1114710;30/01/2020;29/01/2021
1213310;27/01/2020;26/01/2021
1170210;24/01/2020;23/01/2021
1130710;30/01/2020;29/01/2021
926420;27/01/2020;26/01/2021
1232140;27/01/2020;26/01/2021
1208380;30/01/2020;29/01/2021
1180360;25/01/2020;24/01/2021
1213370;30/01/2020;29/01/2021
1217350;31/01/2020;30/01/2021
1217200;28/01/2020;27/01/2021
1217440;26/01/2020;25/01/2021
1185820;29/01/2020;28/01/2021
1209740;25/01/2020;24/01/2021
1199270;24/01/2020;23/01/2021
1234890;30/01/2020;29/01/2021
1225240;27/01/2020;26/01/2021
985650;23/01/2020;22/01/2021
1220830;27/01/2020;26/01/2021
1206900;25/01/2020;24/01/2021
1228680;27/01/2020;26/01/2021
